Topology,Try,Node,Sequence Number,Timestamp,States Count
China Telecom,2,s28,3,1656873778007,93
China Telecom,2,s28,3,1656873780524,138
China Telecom,2,s11,1,1656873665632,1
China Telecom,2,s11,1,1656873668145,52
China Telecom,2,s11,2,1656873731122,53
China Telecom,2,s11,2,1656873733578,103
China Telecom,2,s11,3,1656873777982,104
China Telecom,2,s11,3,1656873780518,153
China Telecom,2,s42,1,1656873665729,1
China Telecom,2,s42,1,1656873668052,45
China Telecom,2,s42,2,1656873731220,46
China Telecom,2,s42,2,1656873733479,89
China Telecom,2,s42,3,1656873778075,90
China Telecom,2,s42,3,1656873780409,133
China Telecom,2,s13,1,1656873665816,1
China Telecom,2,s13,1,1656873668312,42
China Telecom,2,s13,2,1656873731320,43
China Telecom,2,s13,2,1656873733741,85
China Telecom,2,s13,3,1656873778169,86
China Telecom,2,s13,3,1656873780679,127
China Telecom,2,s16,1,1656873665727,1
China Telecom,2,s16,1,1656873668491,74
China Telecom,2,s16,2,1656873731389,75
China Telecom,2,s16,2,1656873733921,146
China Telecom,2,s16,3,1656873778238,147
China Telecom,2,s16,3,1656873780856,217
China Telecom,2,s37,1,1656873665793,1
China Telecom,2,s37,1,1656873668301,52
China Telecom,2,s37,2,1656873731275,53
China Telecom,2,s37,2,1656873733722,103
China Telecom,2,s37,3,1656873778133,104
China Telecom,2,s37,3,1656873780651,153
China Telecom,2,s34,1,1656873665603,1
China Telecom,2,s34,1,1656873668156,69
China Telecom,2,s34,2,1656873731089,70
China Telecom,2,s34,2,1656873733530,137
China Telecom,2,s34,3,1656873777943,138
China Telecom,2,s34,3,1656873780477,205
China Telecom,2,s8,1,1656873665649,1
China Telecom,2,s8,1,1656873668163,52
China Telecom,2,s8,2,1656873731138,53
China Telecom,2,s8,2,1656873733599,103
China Telecom,2,s8,3,1656873777996,104
China Telecom,2,s8,3,1656873780564,153
China Telecom,2,s14,1,1656873665970,1
China Telecom,2,s14,1,1656873668452,57
China Telecom,2,s14,2,1656873731453,58
China Telecom,2,s14,2,1656873733873,113
China Telecom,2,s14,3,1656873778312,114
China Telecom,2,s14,3,1656873780817,169
China Telecom,2,s39,1,1656873665593,1
China Telecom,2,s39,1,1656873668099,48
China Telecom,2,s39,2,1656873731081,49
China Telecom,2,s39,2,1656873733545,96
China Telecom,2,s39,3,1656873777936,97
China Telecom,2,s39,3,1656873780463,143
China Telecom,2,s38,1,1656873665768,1
China Telecom,2,s38,1,1656873668276,48
China Telecom,2,s38,2,1656873731254,49
China Telecom,2,s38,2,1656873733703,96
China Telecom,2,s38,3,1656873778112,97
China Telecom,2,s38,3,1656873780636,143
China Telecom,3,s24,1,1656873885059,1
China Telecom,3,s24,1,1656873887608,63
China Telecom,3,s24,2,1656873984743,64
China Telecom,3,s24,2,1656873987414,126
China Telecom,3,s24,3,1656874077107,127
China Telecom,3,s24,3,1656874079925,188
China Telecom,3,s24,4,1656874090473,189
China Telecom,3,s24,4,1656874093214,250
China Telecom,3,s22,1,1656873885329,1
China Telecom,3,s22,1,1656873887773,43
China Telecom,3,s22,2,1656873985020,44
China Telecom,3,s22,2,1656873987614,85
China Telecom,3,s22,3,1656874077382,86
China Telecom,3,s22,3,1656874079930,127
China Telecom,3,s22,4,1656874090755,128
China Telecom,3,s22,4,1656874093188,169
China Telecom,3,s26,1,1656873885091,1
China Telecom,3,s26,1,1656873887561,58
China Telecom,3,s26,2,1656873984775,59
China Telecom,3,s26,2,1656873987352,114
China Telecom,3,s26,3,1656874077132,115
China Telecom,3,s26,3,1656874079678,170
China Telecom,3,s26,4,1656874090504,171
China Telecom,3,s26,4,1656874093099,226
China Telecom,3,s23,1,1656873885285,1
China Telecom,3,s23,1,1656873887710,52
China Telecom,3,s23,2,1656873984968,53
China Telecom,3,s23,2,1656873987545,104
China Telecom,3,s23,3,1656874077327,105
China Telecom,3,s23,3,1656874079871,156
China Telecom,3,s23,4,1656874090696,157
China Telecom,3,s23,4,1656874093130,208
China Telecom,3,s20,1,1656873885049,1
China Telecom,3,s20,1,1656873887572,52
China Telecom,3,s20,2,1656873984736,53
China Telecom,3,s20,2,1656873987445,103
China Telecom,3,s20,3,1656874077103,104
China Telecom,3,s20,3,1656874079774,154
China Telecom,3,s20,4,1656874090469,155
China Telecom,3,s20,4,1656874092920,204
China Telecom,3,s2,1,1656873885001,1
China Telecom,3,s2,1,1656873887759,70
China Telecom,3,s2,2,1656873984689,71
China Telecom,3,s2,2,1656873987674,138
China Telecom,3,s2,3,1656874077046,139
China Telecom,3,s2,3,1656874079955,192
China Telecom,3,s2,4,1656874090417,193
China Telecom,3,s2,4,1656874093218,246
China Telecom,3,s4,1,1656873885162,1
China Telecom,3,s4,1,1656873887697,50
China Telecom,3,s4,2,1656873984853,51
China Telecom,3,s4,2,1656873987518,101
China Telecom,3,s4,3,1656874077215,102
China Telecom,3,s4,3,1656874079850,152
China Telecom,3,s4,4,1656874090586,153
China Telecom,3,s4,4,1656874093345,202
China Telecom,3,s3,1,1656873885236,1
